Player_clean,Career_Arc,Perf_Tier,Seasons_Played,Avg_PPG,Injury_Count,Avg_Injury_Days,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press
derrick white,Late (8+ yrs),50–75%,8,0.21014736255937938,5,62.4,0.062,8.25,8.5,189.8,10.84,2.92,3.08,31.0,36.5,10.0
derrick williams,Mid (4–7 yrs),25–50%,7,0.17716510741510744,0,,0.108,9.0,9.75,248.4,11.03,,3.23,29.0,34.5,19.0
desagana diop,Mid (4–7 yrs),Bottom 25%,4,0.049563341750841754,4,74.75,0.21,,,314.0,12.37,,3.56,21.5,25.5,15.0
devin booker,Late (8+ yrs),Top 25%,10,0.3762246638095327,6,321.8333333333333,0.083,8.75,9.0,205.8,10.27,2.75,3.28,27.5,34.5,8.0
devin carter,Early (1–3 yrs),Bottom 25%,1,0.10555555555555556,0,,,8.75,9.0,193.0,10.63,2.9,2.87,35.0,42.0,
devin ebanks,Early (1–3 yrs),25–50%,3,0.16687134502923975,3,31.666666666666668,0.079,8.25,9.0,207.8,11.69,,3.44,23.5,32.0,6.0
devin harris,Late (8+ yrs),25–50%,10,0.15742750563193392,7,63.57142857142857,0.053,,,170.0,11.03,,3.19,30.5,37.0,5.0
devonte graham,Mid (4–7 yrs),50–75%,6,0.18924897095887036,6,138.16666666666666,0.048,8.5,9.5,186.4,11.28,3.15,3.21,31.0,37.0,14.0
dexter pittman,Mid (4–7 yrs),25–50%,4,0.16233766233766234,2,2.0,0.208,10.25,10.5,302.6,,,,,,
deyonta davis,Early (1–3 yrs),50–75%,3,0.19414575866188769,1,19.0,0.097,9.0,9.25,237.2,,,,,,
diamond stone,Early (1–3 yrs),50–75%,1,0.19999999999999998,1,9.0,0.1285,8.5,7.75,254.4,12.02,3.22,3.5,27.0,29.5,
dillon brooks,Late (8+ yrs),50–75%,8,0.27042415009677084,4,37.25,0.075,8.25,9.25,220.2,11.14,3.24,3.21,31.0,37.5,16.0
dillon jones,Early (1–3 yrs),Bottom 25%,1,0.046296296296296294,0,,,9.0,9.25,236.8,11.08,2.82,3.25,26.5,33.5,
dion waiters,Late (8+ yrs),Top 25%,8,0.36801746120059553,4,243.75,0.085,8.5,9.5,221.0,,,,,,
dj augustin,Late (8+ yrs),25–50%,13,0.13595528321465203,0,,0.081,,,171.5,11.27,,3.07,28.5,35.0,2.0
dj wilson,Mid (4–7 yrs),Top 25%,6,0.7978594341094342,3,159.0,0.064,9.25,10.25,234.4,,,,,,
dominic mcguire,Mid (4–7 yrs),Bottom 25%,4,0.052199401395173456,2,9.0,0.047,,,220.0,10.95,,3.25,28.5,34.5,12.0
